2025-10-06 12:24:42,000 | INFO | RegisterPage | RegisterPage initialized with all registration form locators.
2025-10-06 12:24:46,170 | INFO | RegisterPage | 'Continue' button clicked successfully, moving forward.
2025-10-06 12:24:46,171 | INFO | Homepage | Waiting for registered email element to be visible in header.
2025-10-06 12:24:46,208 | INFO | Homepage | Extracted text: brandinorris@example.net
2025-10-06 12:24:46,209 | INFO | Homepage | Extracted registered email from header: brandinorris@example.net
2025-10-06 12:24:46,209 | INFO | BaseClass | Registered email visible in header: brandinorris@example.net
2025-10-06 12:24:46,209 | INFO | Homepage | Waiting for 'Digital Downloads' link to be visible.
2025-10-06 12:24:46,217 | INFO | Homepage | 'Digital Downloads' link is visible. Clicking on it.
2025-10-06 12:24:46,217 | INFO | Homepage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/'> selector=".top-menu a[href='/digital-downloads']">
2025-10-06 12:24:46,704 | INFO | Homepage | Clicked on 'Digital Downloads' link successfully.
2025-10-06 12:24:46,704 | INFO | DigitalDownloadsPage | Attempting to click on a random product from the digital downloads list.
2025-10-06 12:24:46,729 | INFO | DigitalDownloadsPage | Clicking random element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/digital-downloads'> selector='.product-title >> nth=2'>
2025-10-06 12:24:48,275 | INFO | DigitalDownloadsPage | Clicked on a random product successfully.
2025-10-06 12:24:48,276 | INFO | DigitalDownloadsPage | Fetching product title from product page.
2025-10-06 12:24:48,468 | INFO | DigitalDownloadsPage | Extracted text: Music 2
2025-10-06 12:24:48,469 | INFO | DigitalDownloadsPage | Extracted product title: Music 2
2025-10-06 12:24:48,469 | INFO | BaseClass | Selected product: Music 2
2025-10-06 12:24:48,469 | INFO | DigitalDownloadsPage | Clicking on 'Add to Cart' button.
2025-10-06 12:24:48,469 | INFO | DigitalDownloadsPage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/music-2'> selector='.add-to-cart-button'>
2025-10-06 12:24:48,511 | INFO | DigitalDownloadsPage | 'Add to Cart' button clicked successfully.
2025-10-06 12:24:48,511 | INFO | DigitalDownloadsPage | Waiting for loader to disappear after adding product to cart.
2025-10-06 12:24:48,512 | INFO | DigitalDownloadsPage | Waiting for loader <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/music-2'> selector='.loading-image'> to disappear (timeout=10000)
2025-10-06 12:24:49,809 | INFO | DigitalDownloadsPage | Loader disappeared — product successfully added to cart.
2025-10-06 12:24:49,809 | INFO | DigitalDownloadsPage | Clicking on shopping cart icon.
2025-10-06 12:24:49,810 | INFO | DigitalDownloadsPage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/music-2'> selector='.header-links .ico-cart'>
2025-10-06 12:24:50,300 | INFO | DigitalDownloadsPage | Navigated to the shopping cart page.
2025-10-06 12:24:50,300 | INFO | ShoppingCartPage | Fetching product name from the shopping cart.
2025-10-06 12:24:50,323 | INFO | ShoppingCartPage | Extracted text: Music 2
2025-10-06 12:24:50,323 | INFO | ShoppingCartPage | Extracted product name from cart: Music 2
2025-10-06 12:24:50,323 | INFO | BaseClass | Product in cart: Music 2
2025-10-06 12:24:50,323 | INFO | BaseClass | ✅ Test passed successfully
